"filename", "language", "YAML", "scs", "Markdown", "comment", "blank", "total"
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/multitree.concept.yaml", "YAML", 71, 0, 0, 0, 6, 77
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/n_ary_tree.concept.yaml", "YAML", 23, 0, 0, 0, 2, 25
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/octree.concept.yaml", "YAML", 24, 0, 0, 0, 2, 26
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/ordered_tree.concept.yaml", "YAML", 17, 0, 0, 0, 2, 19
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/perfectly_balanced_tree.concept.yaml", "YAML", 11, 0, 0, 0, 2, 13
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/polytree.concept.yaml", "YAML", 32, 0, 0, 0, 3, 35
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/r_tree.concept.yaml", "YAML", 26, 0, 0, 0, 3, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/radix_tree.concept.yaml", "YAML", 23, 0, 0, 0, 3, 26
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/range_maximum_tree.concept.yaml", "YAML", 27, 0, 0, 0, 3, 30
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/red_black_tree.concept.yaml", "YAML", 108, 0, 0, 0, 9, 117
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/rooted_tree.concept.yaml", "YAML", 88, 0, 0, 0, 5, 93
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/segment_tree.concept.yaml", "YAML", 22, 0, 0, 0, 3, 25
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/self_balancing_search_tree.concept.yaml", "YAML", 16, 0, 0, 0, 2, 18
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/sorting_tree.concept.yaml", "YAML", 72, 0, 0, 0, 8, 80
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/spanning_tree.concept.yaml", "YAML", 15, 0, 0, 0, 2, 17
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/star_tree.concept.yaml", "YAML", 26, 0, 0, 0, 3, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/subtree.concept.yaml", "YAML", 98, 0, 0, 0, 7, 105
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/suffix_tree.concept.yaml", "YAML", 37, 0, 0, 0, 4, 41
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/ternary_search_tree.concept.yaml", "YAML", 44, 0, 0, 0, 4, 48
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/tree.concept.yaml", "YAML", 260, 0, 0, 0, 16, 276
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/tree_depth.concept.yaml", "YAML", 29, 0, 0, 0, 4, 33
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/tree_height.concept.yaml", "YAML", 33, 0, 0, 0, 3, 36
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/tree_root.concept.yaml", "YAML", 11, 0, 0, 0, 2, 13
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/trie.concept.yaml", "YAML", 26, 0, 0, 0, 3, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/two_three_tree.concept.yaml", "YAML", 54, 0, 0, 0, 3, 57
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/undirected_tree.concept.yaml", "YAML", 11, 0, 0, 0, 2, 13
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/van_emde_boas_tree.concept.yaml", "YAML", 34, 0, 0, 0, 3, 37
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/vantage_point_tree.concept.yaml", "YAML", 24, 0, 0, 0, 3, 27
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/cover_tree.concept.yaml", "YAML", 52, 0, 0, 0, 1, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/dancing_tree.concept.yaml", "YAML", 46, 0, 0, 0, 1, 47
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/decision_tree.concept.yaml", "YAML", 48, 0, 0, 0, 1, 49
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/descartes_tree.concept.yaml", "YAML", 30, 0, 0, 0, 0, 30
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/domain_trees.scs", "scs", 0, 206, 0, 0, 14, 220
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/fenwick_tree.concept.yaml", "YAML", 66, 0, 0, 0, 1, 67
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/fibonacci_tree.concept.yaml", "YAML", 68, 0, 0, 0, 1, 69
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/growing_tree.concept.yaml", "YAML", 45, 0, 0, 0, 1, 46
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/trees.domain.yaml", "YAML", 69, 0, 0, 0, 7, 76
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/acyclic_graphs.domain.yaml", "YAML", 22, 0, 0, 0, 7, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/acyclic_graph.concept.yaml", "YAML", 30, 0, 0, 0, 4, 34
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_acyclic_graph.scs", "scs", 0, 46, 0, 0, 13, 59
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_dag.scs", "scs", 0, 67, 0, 0, 14, 81
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_dag_with_single_source_and_sink.scs", "scs", 0, 59, 0, 0, 14, 73
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_dag_with_sink.scs", "scs", 0, 49, 0, 0, 13, 62
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_dag_with_source.scs", "scs", 0, 47, 0, 0, 13, 60
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_dag_with_source_and_sink.scs", "scs", 0, 60, 0, 0, 13, 73
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/concept_topological_sorting.scs", "scs", 0, 26, 0, 0, 8, 34
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/dag.concept.yaml", "YAML", 50, 0, 0, 0, 4, 54
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/dag_with_single_source_and_sink.concept.yaml", "YAML", 44, 0, 0, 0, 4, 48
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/dag_with_sink.concept.yaml", "YAML", 37, 0, 0, 0, 4, 41
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/concepts/dag_with_source.concept.yaml", "YAML", 36, 0, 0, 0, 4, 40
